"","name","position","height","weight","birthday","birthplace","college","Player_id","first_year","last_year"
"223","Devin Asiasi","TE","6-3",257,"1997-08-14","in Shoreview, CA","Michigan, UCLA (College Stats)","AsiaDe00",2020,2020
"224","Isaac Asiata","OG","6-3",345,"1992-12-29","in Spanish Fork, UT","Utah (College Stats)","AsiaIs00",2017,2018
"225","Johan Asiata","G","6-4",310,"1985-12-19","in Christchurch, New Zealand","Oregon St.","AsiaJo20",2010,2010
"226","Matt Asiata","FB","5-11",229,"1987-07-24","in West Valley, UT","Snow (UT), Utah","AsiaMa00",2012,2016
"227","K.C. Asiodu","LB","6-2",225,"1986-11-24","in Chino Hills, CA","Central Oklahoma",NA,2009,2010
"228","B.J. Askew","FB","6-3",233,"1980-08-19","in Colerain, OH","Michigan (College Stats)",NA,2003,2009
"229","Nnamdi Asomugha","DB","6-2",210,"1981-07-06","in Lafayette, LA","California (College Stats)","AsomNn20",2003,2013
"230","Mark Asper","G","6-6",319,"1985-11-08","in Rexburg, ID","Oregon (College Stats)","AspeMa00",2012,2013
"231","Tim Atchison","FS","6-1",200,"1987-09-27","in Houston, TX","Baylor (College Stats)","AtchTi00",2011,2011
"232","Marcell Ateman","WR","6-4",215,"1994-09-16","in Dallas, TX","Oklahoma St. (College Stats)","AtemMa00",2018,2021
"233","Geno Atkins","DT","6-1",300,"1988-03-28","in Fort Lauderdale, FL","Georgia (College Stats)","AtkiGe99",2010,2020
"234","John Atkins","DT","6-3",320,"1992-12-21","in Thomson, GA","Georgia (College Stats)","AtkiJo01",2018,2019
"235","George Atkinson","RB","6-1",220,"1992-11-29","in Stockton, CA","December 2, 2019","AtkiGe01",2014,2016
"236","O.J. Atogwe","DB","5-11",205,"1981-06-23","in Windsor, Ontario","Stanford (College Stats)",NA,2005,2011
"237","Jeremiah Attaochu","OLB","6-3",262,"1993-01-17","in Ibadan, Nigeria","Georgia Tech (College Stats)","AttaJe00",2014,2021
"238","Tutu Atwell","WR","5-9",165,"1999-10-07","in Miami, FL","Louisville (College Stats)","AtweTu00",2021,2021
"239","Josh Aubrey","DB","5-10",200,"1991-04-09","in Terrell, TX","S.F. Austin","AubrJo00",2013,2015
"240","Antony Auclair","6-6, 256lb (198cm, 116kg)","May 28, 1993",NA,"1993-05-28","in Notre Dame des Pins, Quebec","Laval","AuclAn00",2017,2021
"241","David Ausberry","WR","6-3",235,"1987-09-25","in Lemoore, CA","USC (College Stats)","AusbDa00",2011,2014
"242","Blessuan Austin","CB","6-1",198,"1996-07-19","in Queens, NY","Rutgers (College Stats)","AustBl00",2019,2021
"243","Marvin Austin","DL","6-2",310,"1989-01-01","in Washington, DC","North Carolina (College Stats)","AustMa00",2012,2014
"244","Miles Austin","WR","6-2",215,"1984-06-30","in Summitt, NJ","Monmouth","AustMi00",2006,2015
"245","Rodney Austin","G","6-4",311,"1988-12-04","in St. Louis, MO","Elon","AustRo00",2013,2013
"246","Tavon Austin","WR","5-8",179,"1990-03-15","in Baltimore, MD","West Virginia (College Stats)","AustTa00",2013,2021
"247","Terrence Austin","WR","5-11",175,"1988-08-25","in Long Beach, CA","UCLA (College Stats)","AustTe00",2010,2011
"248","Thomas Austin","G","6-3",315,"1986-11-14","in West Point, NY","Clemson (College Stats)","AustTh00",2011,2013
"249","Denico Autry","DE","6-5",285,"1990-07-15","in Albermarle, NC","East Mississippi CC, Mississippi St. (College Stats)","AutrDe00",2014,2021
"250","Jason Avant","WR","6-0",210,"1983-04-20","in Chicago, IL","Michigan (College Stats)","AvanJa00",2006,2015
"251","Anthony Averett","CB","5-11",178,"1994-11-30","in Woodbury, NJ","Alabama (College Stats)","AverAn00",2018,2021
"252","Donnie Avery","WR","5-11",186,"1984-06-12","in Houston, TX","Houston (College Stats)","AverDo00",2008,2014
"253","Genard Avery","LB","6-0",250,"1995-04-26","in Grenada, MS","Memphis (College Stats)","AverGe00",2018,2021
"254","Cliff Avril","DE","6-3",260,"1986-04-08","in Jacksonville, FL","Purdue (College Stats)","AvriCl99",2008,2017
"255","Adrian Awasom","DE","6-5",280,"1983-10-25","in Cameroon","North Texas","AwasAd20",2005,2011
"256","Chidobe Awuzie","CB","6-0",202,"1995-05-24","in San Jose, CA","Colorado (College Stats)","AwuzCh00",2017,2021
"257","Brendon Ayanbadejo","LB","6-1",225,"1976-09-06","in Chicago, IL","UCLA","AyanBr99",2003,2012
"258","Akeem Ayers","MLB","6-3",255,"1989-07-10","in Los Angeles, CA","UCLA (College Stats)","AyerAk00",2011,2017
"259","Demarcus Ayers","WR","5-11",190,"1994-07-07","in Lancaster, TX","Houston (College Stats)","AyerDe00",2016,2016
"260","Robert Ayers","DE","6-3",275,"1985-09-06","in Jersey City, NJ","Tennessee (College Stats)","AyerRo99",2009,2017
"261","Akin Ayodele","LB","6-2",245,"1979-09-17","in Dallas, TX","Purdue (College Stats)","AyodAk20",2002,2010
"262","Remi Ayodele","DT","6-2",318,"1983-04-22","in Grand Prairie, TX","Oklahoma (College Stats)","AyodRe99",2007,2011
"263","David Baas","G-C","6-4",312,"1981-09-28","in Bixby, OK","Michigan (College Stats)","BaasDa20",2005,2013
"264","Jason Babin","LB-DE","6-3",267,"1980-05-24","in Kalamazoo, MI","Western Michigan (College Stats)","BabiJa20",2004,2015
"265","Jonathan Babineaux","DE-DT","6-2",300,"1981-10-12","in Port Arthur, TX","Iowa (College Stats)","BabiJo20",2005,2016
"266","Jordan Babineaux","DB","6-0",210,"1982-08-31","in Port Arthur, TX","Southern Arkansas","BabiJo21",2004,2012
"267","Jeff Baca","OG","6-4",302,"1990-01-10","in Laguna Hills, CA","UCLA","BacaJe00",2013,2013
"268","Joe Bachie","LB","6-2",235,"1998-02-26","in Brook Park, OH","Michigan St. (College Stats)","BachJo01",2020,2021
"269","Alex Bachman","WR","6-0",190,"1996-05-29","in Westlake Village, CA","Career AV (100-95-...): 0 (16712th overall since 1960)","BachAl00",2020,2020
"270","Kennard Backman","TE","6-3",258,"1993-02-26","in Atlanta, GA","Ala-Birmingham (College Stats)","BackKe00",2015,2015
"271","Jeff Backus","T","6-5",305,"1977-09-21","in Midland, MI","Michigan","BackJe20",2001,2012
"272","David Bada","DT","6-4",293,"1995-05-24","in Munich, Bavaria","Career AV (100-95-...): 0 (16637th overall since 1960)","BadaDa00",2021,2021
"273","Johnson Bademosi","DB","6-0",219,"1990-07-23","in Washington, DC","Stanford (College Stats)","BadeJo00",2012,2019
"274","Jeff Badet","WR","5-11",182,"1994-08-02","in Orlando, FL","Oklahoma","BadeJe00",2020,2020
"275","Michael Badgley","K","5-10",183,"1995-07-28","in Summit, NJ","Miami (FL) (College Stats)","BadgMi00",2018,2021
"276","Allen Bailey","DL","6-3",288,"1989-03-25","in Sapelo Island, GA","Miami (FL) (College Stats)","BailAl00",2011,2020
"277","Alvin Bailey","OG","6-3",312,"1991-08-26","in Broken Arrow, OK","Arkansas (College Stats)","BailAl01",2013,2016
"278","Champ Bailey","DB","6-0",192,"1978-06-22","in Fort Campbell, KY","Georgia (College Stats)","BailCh00",1999,2013
"279","Dan Bailey","K","6-0",190,"1988-01-26","in Mustang, OK","Oklahoma St. (College Stats)","BailDa00",2011,2020
"280","Dion Bailey","FS","6-0",201,"1992-03-02","in Lakewood, CA","USC (College Stats)","BailDi00",2015,2015
"281","Jake Bailey","P","6-2",205,"1997-06-18","in Phoenix, AZ","Stanford (College Stats)","BailJa00",2019,2021
"282","Markus Bailey","LB","6-0",235,"1997-03-07","in Columbus, OH","Purdue (College Stats)","BailMa01",2020,2021
"283","Patrick Bailey","LB","6-4",235,"1985-11-19","in Elmendorf, TX","Duke (College Stats)","BailPa99",2008,2013
"284","Quinn Bailey","T","6-6",323,"1995-10-18","in Gilbert, AZ","Arizona St.","BailQu00",2019,2020
"285","Stedman Bailey","WR","5-10",193,"1990-11-11","in Miramar, FL","West Virginia (College Stats)","BailSt01",2013,2015
"286","Brandon Bair","DT","6-7",272,"1984-11-24","in Rexburg, ID","Oregon (College Stats)","BairBr00",2014,2015
"287","Billy Bajema","TE","6-4",259,"1982-10-31","in Oklahoma City, OK","Oklahoma St. (College Stats)","BajeBi00",2005,2013
"288","Budda Baker","FS","5-10",195,"1996-01-10","in Bellevue, WA","Washington (College Stats)","BakeBu00",2017,2021
"289","Chase Baker","DT","6-1",298,"1988-05-21","in Chico, CA","Boise St. (College Stats)","BakeCh01",2013,2013
"290","Chris Baker","TE","6-3",261,"1979-11-18","in St. Albans, NY","Michigan St. (College Stats)","BakeCh00",2002,2010
"291","Chris Baker","DT","6-2",306,"1987-10-08","in Windsor, CT","Hampton","BakeCh99",2009,2017
"292","Deandre Baker","CB","5-11",186,"1997-09-04","in Miami, FL","Georgia (College Stats)","BakeDe00",2019,2021
"293","Edwin Baker","RB","5-8",204,"1991-06-01","in Detroit, MI","Michigan St. (College Stats)","BakeEd01",2013,2014
"294","Jason Baker","P","6-2",205,"1978-05-17","in Fort Wayne, IN","Iowa (College Stats)","BakeJa20",2001,2011
"295","Jerome Baker","OLB","6-2",225,"1996-12-25","in Cleveland, OH","Ohio St. (College Stats)","BakeJe00",2018,2021
"296","Josh Baker","TE","6-3",244,"1986-12-25","in Chesapeake, VA","Delaware, NW Missouri St.","BakeJo01",2011,2011
"297","Ryan Baker","DE","6-5",295,"1984-11-25","in Indianapolis, IN","Purdue (College Stats)","BakeRy00",2009,2012
"298","Sam Baker","T","6-5",308,"1985-05-30","in Tustin, CA","USC (College Stats)","BakeSa21",2008,2014
"299","Sean Baker","S","6-1",209,"1988-11-06","in Youngstown, OH","Ball St. (College Stats)","BakeSe00",2014,2014
"300","David Bakhtiari","OT","6-4",310,"1991-09-30","in San Mateo, CA","Colorado (College Stats)","BakhDa00",2013,2020
"301","Eric Bakhtiari","LB","6-3",258,"1984-12-02","in San Mateo, CA","San Diego","BakhEr00",2009,2012
"302","Daniel Baldridge","T","6-8",311,"1985-10-21","in Opelousas, LA","Marshall","BaldDa20",2010,2012
"303","Alex Balducci","OL","6-4",310,"1994-03-01","in Portland, OR","Oregon (College Stats)","BaldAl01",2016,2016
"304","Doug Baldwin","WR","5-10",192,"1988-09-21","in Gulf Breeze, FL","Stanford (College Stats)","BaldDo00",2011,2018
"305","Ervin Baldwin","DE","6-2",270,"1986-08-25","in Oglethorpe, GA","Michigan St. (College Stats)","BaldEr99",2009,2009
"306","Jonathan Baldwin","WR","6-4",225,"1989-08-10","in Aliquippa, PA","Pittsburgh (College Stats)","BaldJo00",2011,2013
"307","Alan Ball","DB","6-1",176,"1985-03-29","in Detroit, MI","Illinois (College Stats)","BallAl99",2007,2015
"308","Dave Ball","DE","6-5",255,"1981-01-04","in Fairfield, CA","UCLA (College Stats)","BallDa20",2004,2011
"309","Lance Ball","RB","5-9",223,"1985-06-19","in Teaneck, NJ","Maryland (College Stats)","BallLa00",2008,2012
"310","Marcus Ball","S","6-1",209,"1987-07-21","in Norfolk, VA","Memphis","BallMa00",2014,2016
"311","Montee Ball","RB","5-11",214,"1990-12-05","in Wentzville, MO","Wisconsin (College Stats)","BallMo00",2013,2014
"312","Neiron Ball","OLB","6-2",230,"1992-08-20","in Jackson, GA","September 9, 2019","BallNe00",2015,2015
"313","Kalen Ballage","RB","6-2",231,"1995-12-22","in Peyton, CO","Arizona St. (College Stats)","BallKa00",2018,2021
"314","Christian Ballard","DL","6-4",298,"1989-01-03","in Lawrence, KS","Iowa (College Stats)","BallCh00",2011,2012
"315","Jake Ballard","TE","6-6",256,"1987-12-02","in Springboro, OH","Ohio St. (College Stats)","BallJa21",2010,2013
"316","Vick Ballard","RB","5-10",217,"1990-07-16","in Pascagoula, MS","Mississippi St. (College Stats)","BallVi00",2012,2013
"317","Corey Ballentine","CB","6-0",191,"1996-04-13","in Montego Bay, Jamaica","Washburn","BallCo00",2019,2021
"318","Lonnie Ballentine","FS","6-3",225,"1993-04-23","in Memphis, TN","Memphis (College Stats)","BallLo00",2015,2016
"319","Kentwan Balmer","DT","6-5",298,"1986-10-15","in Ashoskie, NC","North Carolina (College Stats)","BalmKe99",2008,2011
"320","Mike Balogun","LB","6-0",240,"1983-09-28","in Upper Marlboro, MD","Central Oklahoma","BaloMi20",2010,2010
"321","Chris Banjo","S","5-10",207,"1990-02-26","in Houston, TX","SMU (College Stats)","BanjCh00",2013,2021
"322","Brandon Banks","WR","5-7",150,"1987-12-21","in Garner, NC","Kansas St. (College Stats)","BankBr00",2010,2012
"323","Brandon Banks","DL","6-3",267,"1994-07-13","in Greensboro, NC","Charlotte","BankBr01",2017,2017
"324","Eric Banks","DT","6-5",270,"1998-01-30","in Memphis, TN","Texas-San Antonio (College Stats)","BankEr00",2021,2021
"325","Gary Banks","WR","6-0",193,"1981-11-04","in Meridian, MS","Troy (College Stats)","BankGa00",2010,2010
"326","Jason Banks","DE","6-5",300,"1985-05-08","in Baton Rouge, LA","Grambling St.","BankJa00",2009,2009
"327","Johnthan Banks","CB","6-2",185,"1989-10-03","in Maben, MS","Mississippi St. (College Stats)","BankJo00",2013,2017
"328","Justin Bannan","DT","6-3",312,"1979-04-18","in Orangevale, CA","Colorado (College Stats)","BannJu20",2002,2013
"329","Zach Banner","OG","6-8",358,"1993-12-25","in Puyallup, WA","USC (College Stats)","BannZa00",2017,2020
"330","Ben Banogu","EDGE","6-3",252,"1996-01-19","in Nigeria","TCU (College Stats)","BanoBe00",2019,2021
"331","Tully Banta-Cain","LOLB","6-2",250,"1980-08-28","in Mountain View, CA","California (College Stats)","BantTu20",2003,2010
"332","Joe Banyard","RB","5-11",213,"1988-11-12","in Sweetwater, TX","Texas-El Paso (College Stats)","BanyJo00",2013,2017
"333","Dominique Barber","DB","6-0",211,"1986-08-02","in Plymouth, MN","Minnesota (College Stats)","BarbDo99",2008,2011
"334","Marion Barber III","RB","5-11",218,"1983-06-10","in Plymouth, MN","Minnesota (College Stats)","BarbMa01",2005,2011
"335","Peyton Barber","RB","5-11",225,"1994-06-27","in Alpharetta, GA","Auburn (College Stats)","BarbPe01",2016,2021
"336","Ronde Barber","DB","5-10",184,"1975-04-07","in Roanoke, VA","Virginia (College Stats)","BarbRo00",1997,2012
"337","Allen Barbre","T","6-4",310,"1984-06-22","in Neosho, MO","Missouri Southern","BarbAl20",2007,2017
"338","Don Barclay","G","6-4",305,"1989-04-18","in Newport News, VA","West Virginia (College Stats)","BarcDo00",2012,2017
"339","Luq Barcoo","DB","6-1",175,"1998-07-27","in San Diego, CA","San Diego St.","BarcLu00",2020,2020
"340","Brandon Barden","TE","6-5",240,"1989-03-15","in Lincolnton, GA","Vanderbilt (College Stats)","BardBr00",2012,2012
"341","Ramses Barden","WR","6-6",227,"1986-01-01","in Altadena, CA","Cal Poly-San Luis Obispo","BardRa00",2009,2012
"342","Jake Bargas","RB","6-2",250,"1996-11-28","in Boca Raton, FL","North Carolina","BargJa00",2020,2020
"343","Chris Barker","OG","6-3",305,"1990-08-03","in West Covina, CA","Nevada","BarkCh00",2013,2015
"344","Will Barker","T","6-7",315,"1987-07-03","in Bryn Mawr, PA","Virginia (College Stats)","BarkWi20",2010,2010
"345","Matt Barkley","QB","6-2",234,"1990-09-08","in Newport Beach, CA","USC (College Stats)","BarkMa00",2013,2020
"346","Saquon Barkley","RB","5-11",233,"1997-02-09","in Bronx, NY","Penn St. (College Stats)","BarkSa00",2018,2021
"347","Joe Barksdale","T","6-5",326,"1988-01-01","in Detroit, MI","LSU (College Stats)","BarkJo00",2011,2018
"348","Christian Barmore","DT","6-4",310,"1999-07-28","in Philadelphia, PA","Alabama (College Stats)","BarmCh00",2021,2021
"349","Kenjon Barner","RB","5-9",195,"1989-04-28","in Lynwood, CA","Oregon (College Stats)","BarnKe00",2013,2020
"350","Adairius Barnes","CB","5-11",188,"1994-04-30","in Vicksburg, MS","Louisiana Tech (College Stats)","BarnAd01",2016,2016
"351","Antwan Barnes","LB","6-1",240,"1984-10-19","in Miami, FL","Florida International (College Stats)","BarnAn99",2007,2014
"352","Derrick Barnes","LB","6-0",238,"1999-05-29","in Covington, KY","Purdue (College Stats)","BarnDe02",2021,2021
"353","Kevin Barnes","DB","6-0",180,"1986-09-15","in Fayetteville, NC","Maryland (College Stats)","BarnKe99",2009,2012
"354","Khalif Barnes","T","6-6",320,"1982-04-21","in San Diego, CA","Washington (College Stats)","BarnKh20",2005,2017
"355","Krys Barnes","LB","6-2",229,"1998-04-02","in Bakersfield, CA","UCLA (College Stats)","BarnKr00",2020,2021
"356","T.J. Barnes","DT","6-6",355,"1990-06-14","in Montgomery, AL","Georgia Tech (College Stats)",NA,2014,2016
"357","Tavaris Barnes","DE","6-4",291,"1991-11-02","in Jacksonville, FL","Clemson (College Stats)","BarnTa00",2015,2015
"358","Tim Barnes","C","6-4",297,"1988-05-14","in Longwood, MO","Missouri (College Stats)","BarnTi01",2012,2017
"359","Derek Barnett","DE","6-3",259,"1996-06-25","in Nashville, TN","Tennessee (College Stats)","BarnDe01",2017,2021
"360","Nick Barnett","LB","6-2",228,"1981-05-27","in Fontana, CA","Oregon St. (College Stats)","BarnNi20",2003,2013
"361","Gary Barnidge","TE","6-6",250,"1985-09-22","in Middleburg, FL","Louisville (College Stats)","BarnGa01",2008,2016
"362","Anthony Barr","OLB","6-5",257,"1992-03-18","in South Bend, IN","UCLA (College Stats)","BarrAn00",2014,2021
"363","Alex Barrett","DE","6-2",250,"1994-03-06","in Yuma, AZ","San Diego St. (College Stats)","BarrAl00",2017,2020
"364","Josh Barrett","DB","6-2",226,"1984-11-22","in Reno, NV","Arizona St. (College Stats)","BarrJo99",2008,2011
"365","Shaquil Barrett","OLB","6-2",250,"1992-11-17","in Baltimore, MD","Colorado St. (College Stats)","BarrSh00",2015,2021
"366","Sam Barrington","ILB","6-1",246,"1990-10-05","in Orlando, FL","South Florida (College Stats)","BarrSa00",2013,2016
"367","Alex Barron","T","6-8",315,"1982-09-28","in Orangeburg, SC","Florida St. (College Stats)","BarrAl20",2005,2010
"368","Mark Barron","LB","6-2",230,"1989-10-27","in Mobile, AL","Alabama (College Stats)","BarrMa00",2012,2019
"369","Lamin Barrow","ILB","6-1",237,"1990-11-29","in Marrero, LA","LSU (College Stats)","BarrLa00",2014,2015
"370","Alex Bars","T","6-5",334,"1995-09-08","in Nashville, TN","Notre Dame (College Stats)","BarsAl01",2019,2021
"371","Brad Bars","DE","6-3",251,"1992-04-24","in Chicago, IL","Penn St. (College Stats)","BarsBr00",2015,2015
"372","Ben Bartch","OL","6-6",309,"1998-07-22","in Dayton, OR","Saint John's (MN)","BartBe00",2020,2021
"373","Richard Bartel","QB Throws: Right","6-3",246,"1983-02-03","in San Antonio, TX","Tarleton St.","BartRi00",2010,2011
"374","Ron Bartell","DB","6-1",210,"1982-02-22","in Detroit, MI","Howard","BartRo20",2005,2012
"375","Connor Barth","K","5-11",193,"1986-04-11","in Wilmington, NC","North Carolina (College Stats)","barthco01",2008,2017
"376","Cody Barton","LB","6-2",237,"1996-11-13","in Salt Lake City, UT","Utah (College Stats)","BartCo00",2019,2021
"377","Eric Barton","LILB","6-3",245,"1977-09-29","in Alexandria, VA","Maryland (College Stats)","BartEr20",1999,2010
"378","Joplo Bartu","LB","6-2",230,"1990-10-03","in Opelousas, LA","Texas St.","BartJo01",2013,2016
"379","Connor Barwin","DE","6-4",255,"1986-10-15","in Southfield, MI","Cincinnati (College Stats)","BarwCo99",2009,2018
"380","Carlos Basham","DL","6-3",281,"1997-12-16","in Roanoke, VA","Wake Forest (College Stats)","BashCa00",2021,2021
"381","Tarell Basham","DE","6-4",266,"1994-03-18","in Rocky Mount, VA","Ohio (College Stats)","BashTa00",2017,2021
"382","Hank Baskett","WR","6-4",220,"1982-09-04","in Clovis, NM","New Mexico (College Stats)","BaskHa00",2006,2010
"383","Ben Bass","DE","6-4",288,"1989-10-12","in Plano, TX","Texas A&M (College Stats)","BassBe00",2012,2012
"384","David Bass","DE","6-4",267,"1990-09-11","in St. Louis, MO","Missouri Western St.","BassDa00",2013,2017
